SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,OPEN_INT,CHG_IN_OI,COI_OI,COI_CHOI,COUNT
BANKNIFTY,01-APR-2020,18900.0,18996.05,17962.65,18171.2,878400,3920,941180,-87940,0
BANKNIFTY,01-APR-2020,18700.45,18948.05,18020.0,18222.3,59360,-92840,941180,-87940,1
BANKNIFTY,01-APR-2020,19000.0,19000.0,18100.0,18252.9,3420,980,941180,-87940,2
NIFTY,01-APR-2020,8558.0,8569.0,8181.0,8257.3,9658875,-274875,11009925,-710775,3
NIFTY,01-APR-2020,8562.15,8579.6,8200.15,8278.45,1255575,-447750,11009925,-710775,4
NIFTY,01-APR-2020,8555.55,8555.55,8209.9,8280.25,95475,11850,11009925,-710775,5
BANKNIFTY,03-APR-2020,18226.1,18226.1,17075.0,17175.8,980340,101940,1050660,109480,0
BANKNIFTY,03-APR-2020,18089.35,18089.35,17130.05,17222.85,66100,6740,1050660,109480,1
BANKNIFTY,03-APR-2020,17898.7,17903.0,17196.0,17275.35,4220,800,1050660,109480,2
NIFTY,03-APR-2020,8259.7,8330.0,8045.0,8084.5,9590325,-68550,10933875,-76050,3
NIFTY,03-APR-2020,8296.0,8360.0,8067.65,8103.5,1236600,-18975,10933875,-76050,4
NIFTY,03-APR-2020,8226.5,8250.0,8070.0,8113.75,106950,11475,10933875,-76050,5
BANKNIFTY,07-APR-2020,18254.55,19250.0,17921.0,19172.0,1001300,20960,1074280,23620,0
BANKNIFTY,07-APR-2020,18250.3,19275.15,17976.8,19211.15,69040,2940,1074280,23620,1
BANKNIFTY,07-APR-2020,18249.15,19002.9,18091.05,19002.9,3940,-280,1074280,23620,2
NIFTY,07-APR-2020,8450.85,8892.95,8372.0,8875.85,9551850,-38475,10966875,33000,3
NIFTY,07-APR-2020,8471.35,8912.7,8392.25,8893.05,1277025,40425,10966875,33000,4
NIFTY,07-APR-2020,8450.0,8909.0,8400.0,8888.15,138000,31050,10966875,33000,5
BANKNIFTY,08-APR-2020,18816.0,20599.0,18495.0,18889.5,986000,-15300,1060300,-13980,0
BANKNIFTY,08-APR-2020,18869.0,20613.25,18532.25,18931.45,69480,440,1060300,-13980,1
BANKNIFTY,08-APR-2020,18775.45,20626.25,18593.25,18986.55,4820,880,1060300,-13980,2
NIFTY,08-APR-2020,8748.0,9144.7,8685.75,8750.55,9316500,-235350,10847325,-119550,3
NIFTY,08-APR-2020,8742.25,9167.55,8706.2,8762.7,1386300,109275,10847325,-119550,4
NIFTY,08-APR-2020,8735.2,9162.1,8707.6,8763.25,144525,6525,10847325,-119550,5
BANKNIFTY,09-APR-2020,19488.75,19888.0,19071.0,19768.3,1129700,143700,1216040,155740,0
BANKNIFTY,09-APR-2020,19428.6,19918.95,19113.85,19801.1,81520,12040,1216040,155740,1
BANKNIFTY,09-APR-2020,19451.5,19952.35,19151.65,19834.8,4820,0,1216040,155740,2
NIFTY,09-APR-2020,8910.0,9111.6,8891.0,9086.7,10029075,712575,11804775,957450,3
NIFTY,09-APR-2020,8950.0,9121.55,8908.65,9101.1,1612125,225825,11804775,957450,4
NIFTY,09-APR-2020,8924.55,9112.05,8909.55,9093.85,163575,19050,11804775,957450,5
BANKNIFTY,13-APR-2020,19680.0,19826.3,19184.95,19484.1,1084420,-45280,1169740,-46300,0
